Date,Function,Metric,Value
2022-12-01,IPA,Monthly WIN - TCV,0.0
2022-12-01,IPA,Order in Progress - MRC,0.0
2022-12-01,MNC,Billed Revenue,7313346.393900005
2022-12-01,MNC,Monthly WIN - MRC,0.0
2022-12-01,MNC,Monthly WIN - TCV,0.0
2022-12-01,MNC,Order in Progress - MRC,0.0
2022-12-01,Maggie's team,Billed Revenue,0.0
2022-12-01,Maggie's team,Monthly WIN - MRC,0.0
2022-12-01,Maggie's team,Monthly WIN - TCV,0.0
2022-12-01,Maggie's team,Order in Progress - MRC,0.0
2022-12-01,Sherry's team,Billed Revenue,0.0
2022-12-01,Sherry's team,Monthly WIN - MRC,0.0
2022-12-01,Sherry's team,Monthly WIN - TCV,0.0
2022-12-01,Sherry's team,Order in Progress - MRC,0.0
2022-12-01,Zscaler,Billed Revenue,0.0
2022-12-01,Zscaler,Monthly WIN - MRC,0.0
2022-12-01,Zscaler,Monthly WIN - TCV,0.0
2022-12-01,Zscaler,Order in Progress - MRC,0.0
2023-01-01,AT&T,Billed Revenue,0.0
2023-01-01,AT&T,Monthly WIN - MRC,0.0
2023-01-01,AT&T,Monthly WIN - TCV,0.0
2023-01-01,AT&T,Order in Progress - MRC,0.0
2023-01-01,Emily's channel,Billed Revenue,0.0
2023-01-01,Emily's channel,Monthly WIN - MRC,0.0
2023-01-01,Emily's channel,Monthly WIN - TCV,0.0
2023-01-01,Emily's channel,Order in Progress - MRC,0.0
2023-01-01,IPA,Billed Revenue,0.0
2023-01-01,IPA,Monthly WIN - MRC,0.0
2023-01-01,IPA,Monthly WIN - TCV,0.0
2023-01-01,IPA,Order in Progress - MRC,0.0
2023-01-01,MNC,Billed Revenue,7012208.29
2023-01-01,MNC,Monthly WIN - MRC,0.0
2023-01-01,MNC,Monthly WIN - TCV,0.0
2023-01-01,MNC,Order in Progress - MRC,0.0
2023-01-01,Maggie's team,Billed Revenue,0.0
2023-01-01,Maggie's team,Monthly WIN - MRC,0.0
2023-01-01,Maggie's team,Monthly WIN - TCV,0.0
2023-01-01,Maggie's team,Order in Progress - MRC,0.0
2023-01-01,Sherry's team,Billed Revenue,0.0
2023-01-01,Sherry's team,Monthly WIN - MRC,0.0
2023-01-01,Sherry's team,Monthly WIN - TCV,0.0
2023-01-01,Sherry's team,Order in Progress - MRC,0.0
2023-01-01,Zscaler,Billed Revenue,0.0
2023-01-01,Zscaler,Monthly WIN - MRC,0.0
2023-01-01,Zscaler,Monthly WIN - TCV,0.0
2023-01-01,Zscaler,Order in Progress - MRC,0.0
2023-02-01,AT&T,Billed Revenue,0.0
2023-02-01,AT&T,Monthly WIN - MRC,0.0
2023-02-01,AT&T,Monthly WIN - TCV,0.0
2023-02-01,AT&T,Order in Progress - MRC,0.0
2023-02-01,Emily's channel,Billed Revenue,0.0
2023-02-01,Emily's channel,Monthly WIN - MRC,0.0
2023-02-01,Emily's channel,Monthly WIN - TCV,0.0
2023-02-01,Emily's channel,Order in Progress - MRC,0.0
2023-02-01,IPA,Billed Revenue,0.0
2023-02-01,IPA,Monthly WIN - MRC,0.0
2023-02-01,IPA,Monthly WIN - TCV,0.0
2023-02-01,IPA,Order in Progress - MRC,0.0
2023-02-01,MNC,Billed Revenue,7070685.65
2023-02-01,MNC,Monthly WIN - MRC,0.0
2023-02-01,MNC,Monthly WIN - TCV,0.0
2023-02-01,MNC,Order in Progress - MRC,0.0
2023-02-01,Maggie's team,Billed Revenue,0.0
2023-02-01,Maggie's team,Monthly WIN - MRC,0.0
2023-02-01,Maggie's team,Monthly WIN - TCV,0.0
2023-02-01,Maggie's team,Order in Progress - MRC,0.0
2023-02-01,Sherry's team,Billed Revenue,0.0
2023-02-01,Sherry's team,Monthly WIN - MRC,0.0
2023-02-01,Sherry's team,Monthly WIN - TCV,0.0
2023-02-01,Sherry's team,Order in Progress - MRC,0.0
2023-02-01,Zscaler,Billed Revenue,0.0
2023-02-01,Zscaler,Monthly WIN - MRC,0.0
2023-02-01,Zscaler,Monthly WIN - TCV,0.0
2023-02-01,Zscaler,Order in Progress - MRC,0.0
2023-03-01,AT&T,Billed Revenue,0.0
2023-03-01,AT&T,Monthly WIN - MRC,0.0
2023-03-01,AT&T,Monthly WIN - TCV,0.0
2023-03-01,AT&T,Order in Progress - MRC,0.0
2023-03-01,Emily's channel,Billed Revenue,0.0
2023-03-01,Emily's channel,Monthly WIN - MRC,0.0
2023-03-01,Emily's channel,Monthly WIN - TCV,0.0
2023-03-01,Emily's channel,Order in Progress - MRC,0.0
2023-03-01,IPA,Billed Revenue,0.0
2023-03-01,IPA,Monthly WIN - MRC,0.0
2023-03-01,IPA,Monthly WIN - TCV,0.0
2023-03-01,IPA,Order in Progress - MRC,0.0
2023-03-01,MNC,Billed Revenue,6864766.67
2023-03-01,MNC,Monthly WIN - MRC,0.0
2023-03-01,MNC,Monthly WIN - TCV,0.0
2023-03-01,MNC,Order in Progress - MRC,0.0
2023-03-01,Maggie's team,Billed Revenue,0.0
2023-03-01,Maggie's team,Monthly WIN - MRC,0.0
2023-03-01,Maggie's team,Monthly WIN - TCV,0.0
2023-03-01,Maggie's team,Order in Progress - MRC,0.0
2023-03-01,Sherry's team,Billed Revenue,0.0
2023-03-01,Sherry's team,Monthly WIN - MRC,0.0
2023-03-01,Sherry's team,Monthly WIN - TCV,0.0
2023-03-01,Sherry's team,Order in Progress - MRC,0.0
2023-03-01,Zscaler,Billed Revenue,0.0
2023-03-01,Zscaler,Monthly WIN - MRC,0.0
2023-03-01,Zscaler,Monthly WIN - TCV,0.0
