Date,Parameter,Value
2025-02-01,Bill from CNT,0.0
2025-02-01,Bill from sinocomm,0.0
2025-02-01,Bill from 北京紫讯,0.0
2025-03-01,Bill from CBC China,224.0
2025-03-01,Bill from CBC Hong Kong,92.0
2025-03-01,Bill from CBC Singapore,17.0
2025-03-01,Bill from CBC Taiwan,0.0
2025-03-01,Bill from CBC Tech HK,0.0
2025-03-01,Bill from CNO,0.0
2025-03-01,Bill from CNT,0.0
2025-03-01,Bill from sinocomm,0.0
2025-03-01,Bill from 北京紫讯,0.0
2025-04-01,Bill from CBC China,201.0
2025-04-01,Bill from CBC Hong Kong,96.0
2025-04-01,Bill from CBC Singapore,21.0
2025-04-01,Bill from CBC Taiwan,0.0
2025-04-01,Bill from CBC Tech HK,0.0
2025-04-01,Bill from CNO,0.0
2025-04-01,Bill from CNT,0.0
2025-04-01,Bill from sinocomm,0.0
2025-04-01,Bill from 北京紫讯,0.0
2025-05-01,Bill from CBC China,194.0
2025-05-01,Bill from CBC Hong Kong,94.0
2025-05-01,Bill from CBC Singapore,18.0
2025-05-01,Bill from CBC Taiwan,0.0
2025-05-01,Bill from CBC Tech HK,0.0
2025-05-01,Bill from CNO,0.0
2025-05-01,Bill from CNT,0.0
2025-05-01,Bill from sinocomm,0.0
2025-05-01,Bill from 北京紫讯,0.0
2025-06-01,Bill from CBC China,206.0
2025-06-01,Bill from CBC Hong Kong,95.0
2025-06-01,Bill from CBC Singapore,23.0
2025-06-01,Bill from CBC Taiwan,0.0
2025-06-01,Bill from CBC Tech HK,0.0
2025-06-01,Bill from CNO,0.0
2025-06-01,Bill from CNT,0.0
2025-06-01,Bill from sinocomm,0.0
2025-06-01,Bill from 北京紫讯,0.0
2025-07-01,Bill from CBC China,200.0
2025-07-01,Bill from CBC Hong Kong,94.0
2025-07-01,Bill from CBC Singapore,24.0
2025-07-01,Bill from CBC Taiwan,0.0
2025-07-01,Bill from CBC Tech HK,0.0
2025-07-01,Bill from CNO,0.0
2025-07-01,Bill from CNT,0.0
2025-07-01,Bill from sinocomm,0.0
2025-07-01,Bill from 北京紫讯,0.0
2025-08-01,Bill from CBC China,187.0
2025-08-01,Bill from CBC Hong Kong,92.0
2025-08-01,Bill from CBC Singapore,21.0
2025-08-01,Bill from CBC Taiwan,3.0
2025-08-01,Bill from CBC Tech HK,7.0
2025-08-01,Bill from CNO,0.0
2025-08-01,Bill from CNT,16.0
2025-08-01,Bill from sinocomm,5.0
2025-08-01,Bill from 北京紫讯,5.0
2025-09-01,Bill from CBC China,193.0
2025-09-01,Bill from CBC Hong Kong,95.0
2025-09-01,Bill from CBC Singapore,24.0
2025-09-01,Bill from CBC Taiwan,3.0
2025-09-01,Bill from CBC Tech HK,7.0
2025-09-01,Bill from CNO,1.0
2025-09-01,Bill from CNT,19.0
2025-09-01,Bill from sinocomm,7.0
2025-09-01,Bill from 北京紫讯,4.0
2025-10-01,Bill from CBC China,184.0
2025-10-01,Bill from CBC Hong Kong,96.0
2025-10-01,Bill from CBC Singapore,24.0
2025-10-01,Bill from CBC Taiwan,3.0
2025-10-01,Bill from CBC Tech HK,7.0
2025-10-01,Bill from CNO,1.0
2025-10-01,Bill from CNT,18.0
2025-10-01,Bill from sinocomm,9.0
2025-10-01,Bill from 北京紫讯,4.0
2025-11-01,Bill from CBC China,192.0
2025-11-01,Bill from CBC Hong Kong,96.0
2025-11-01,Bill from CBC Singapore,25.0
2025-11-01,Bill from CBC Taiwan,3.0
2025-11-01,Bill from CBC Tech HK,6.0
2025-11-01,Bill from CNO,1.0
2025-11-01,Bill from CNT,18.0
2025-11-01,Bill from sinocomm,6.0
2025-11-01,Bill from 北京紫讯,3.0
2025-12-01,Bill from CBC China,205.0
2025-12-01,Bill from CBC Hong Kong,100.0
2025-12-01,Bill from CBC Singapore,30.0
2025-12-01,Bill from CBC Taiwan,4.0
2025-12-01,Bill from CBC Tech HK,7.0
2025-12-01,Bill from CNO,1.0
2025-12-01,Bill from CNT,19.0
2025-12-01,Bill from sinocomm,7.0
2025-12-01,Bill from 北京紫讯,3.0
